id,text,tokens_count,summary
171312," С утра до поздней ночи гул и звенящий стон немецких самолетов, сопровождаемый непрерывным грохотом бомбежки. Дома трясутся, все дребезжит, хоть бомбят сравнительно далеко. Такого массированного налета еще не бывало. Когда самолет проносится совсем низко над деревней, начинают скрипеть наши зенитные пулеметы. Настроение тревожное, подавленное Политотдел не работает, упаковывает бумаги. Слухи о готовящемся наступлении немцев. Эта яростная бомбежка, очевидно, является прелюдией к чему-то серьезному. И как обычно, именно тогда, когда она нужна, наша истребительная авиация отсутствует. Под этот непрерывный грохот идет допрос пленных немецких летчиков, на котором я присутствую. Их человек десять — с двух сбитых Ю-52. Интересно, что один из самолетов был сбит выстрелами из винтовок. Передо мной прошли трое пленных — майор, лейтенант и унтер-офицер. Странно и жутко видеть перед собой так близко своих врагов. Существа с другой планеты. У них и мозги устроены не так, как у нас. Целый день я провел на допросе вместе с работниками политотдела — переводчиками. Майор — молодой, лет 35, летчик-наблюдатель. Худое, острое, загорелое лицо, характерная прическа «бокс», светлые стеклянные глаза. Стремительный взгляд, одет в теплое, серое пальто с меховым воротником, валенки, полученные им уже в плену, взамен сапог, сгоревших при посадке. Шапка тоже сгорела — повязывает голову теплым шарфом. Держится непринужденно. Внешне очень словоохотлив, улыбается. Но эта словоохотливость обманчива. На скользкие вопросы отвечает незнанием, либо дает выгодные для германской армии ответы. Врет, но временами проговаривается. Когда ему сказали, что не верят ответам — заметно покраснел. В общем, сволочь. Лейтенант — молоденький темноглазый мальчик в коричневом теплом комбинезоне с карманами на коленях и с бесчисленными застежками-молниями. Голова тоже повязана шарфом. Рука забинтована, левая нога без сапога, в теплом чулке — прихрамывает. У него усталое лицо и удивительная улыбка. Доверчивая, покорная, какая-то детская, она в тоже время говорит: «ну, что же, делайте со мной, что хотите, я в вашей власти, я готов ко всему». А вместе с тем, таится что-то свое, упрямое. Он сказал, что удивлен, почему до сих пор его не расстреляли. Русские не только расстреливают пленных, но и отрезают у них конечности. По его словам, в момент пленения он хотел застрелиться, но пистолет дал осечку. Когда ему сказали, что могут его отпустить назад с тем, чтобы он рассказал товарищам всю правду о том, как с ним обращались в плену, мальчик удивленно ответил, что тогда ведь он должен рассказать и о вооружении, которое у нас видел. Нафарширован геббельской демагогией. Россия готовилась напасть на Германию и расчленить ее. Германия защищается, главные виновники войны — Америка и Англия… Честный, хороший, наверное, мальчик, вконец исковерканный гитлеровской пропагандой. На войне таких расстреливают. Самый интересный экземпляр — унтер-офицер. Сухой, горбоносый, с длинным лицом, бывший наборщик, берлинец. Серый комбинезон — спина порвана в клочья — на голове русская ушанка. Начал с того, что он солдат, маленький человек и не имеет своего мнения (обычный трафарет). Однако, оказалось, что парень может думать и думает. У него есть здравый смысл, способность логически рассуждать, какие-то проблески критической мысли. Мои политотдельцы вцепились в него. О чем только они с ним не беседовали! И о расовой теории, и об антисемитизме, и о литературе, и о перспективах войны, и о духовной силе русского народа… Или я ничего не понимаю в людях, или эта беседа несомненно произвела на парня сильное впечатление, заставила задуматься. Прощаясь с нами, он держался совсем иначе, нежели в первые минуты. Этот может стать нашим. Общее впечатление от всех трех, от их показаний. Немцы не потеряли надежду нас победить. Неудача под Москвой — это результат зимы. Отход вызван тактическими и стратегическими соображениями. Да, Гитлер недооценил силу России, но теперь этот промах учтен, и уже исправляется. Продовольственное положение Германии приличное. Немцы не будут голодать. Да, народ утомлен войной, но верит своему правительству. Наши данные о потерях германской армии сильно преувеличены. Демянская группировка вполне обеспечена продовольствием. Даже созданы запасы. Если это даже не очковтирательство, то все же нужно помнить, кто так говорит: представители привилегированной касты, не испытавшие на себе тяжесть войны — летчики-транспортники. Они не связаны с солдатской массой. А все-таки, не переоцениваем ли мы свои успехи? ",1000,"С утра и до поздней ночи — гул и стон немецких самолётов, непрекращающийся грохот бомбёжки.

Политотдел не работал, слухи о наступлении немецких войск.

На допросе пленных лётчиков присутствовал автор записи. Из десяти лётчиков один самолёт сбили выстрелами из винтовки.

Допрашиваемые держатся непринуждённо, улыбаются, но на скользкие вопросы отвечают незнанием или дают выгодные для немецкой армии ответы, врут.

Лейтенант — юный темноглазый юноша в коричневом тёплом комбинезоне, с забинтованной рукой и без сапога на левой ноге. Сказал, что удивлён, почему его ещё не расстреляли, ведь русские не только расстреливают, но и ампутируют конечности пленным.

Самый интересный экземпляр — бывший наборщик из Берлина, унтер-офицер с длинным лицом и горбатым носом. Парень может думать, у него есть здравый смыл, способность рассуждать логически, проблески критической оценки.

Немцы не потеряли надежды нас победить, неудача под Москвой вызвана тактическими и стратегическим соображениями, а не зимой. Продовольственная ситуация в Германии хорошая, немцы не будут голодать, Демянская группа войск обеспечена продуктами."
380513," 18/V Третьего дня был на заседании в Коммерческом институте, то есть в институте имени Карла Маркса. При нем основан «Рабочий факультет». По идее прекрасная вещь, но сразу же обнаружилось: 1) полное «нехожденье» лекторов-коммунистов и 2) слабейшая подготовка слушателей. Для устранения последней беды были устроены скорострельные курсы «для неграмотных и малограмотных». Оказалось, что переход с них на рабочий факультет всё-таки слишком резок. Нужно что-то промежуточное. Вот это и обсуждалось. Ведать делом призваны две женщины: Катя Карманова (теперь жена Фельдмана), наша ученица бывшая, девочка с головой, — правда, закружившейся от всяких слов, и некая госпожа Шиллер, Шеллер и Шиллерт. Это уж прямо жалкая дуреха, хотя и стоит во главе всего Замоскворецкого просвещения. Абсолютная, идеальная каша в голове!.. Даром потерял время и больше, конечно, не пойду. — Завтра читаю перед «Пролетк[ультовск]им» спектаклем в Садовниках («Не так живи, как хочется»). При телефонных переговорах какой-то еврейский голос путанно просил меня «оправдать» выбор пьесы, в которой «речь о религии». В Музее герой дня Георгиевский. Ну и негодяй! За свою жизнь много видел негодяев, но такого махрового еще не видал!.. Сегодня Матрена устроила очередной скандал: кричала на Веру и так далее. Решили расстаться. Сколько злобы копится в душе! Ужас берет. И стыдно, и в то же время ты — объект издевательства всякой сволочи. И все под знаменем социализма и хороших слов!.. Доколе!.. Так хочется умереть. Видит Бог, никогда идеологом буржуазии не был... ",369,"18/V Был на заседании в институте им. Карла Маркса, где обсуждали проблемы «Рабочего факультета». Обнаружились проблемы с посещением лекций коммунистами и слабая подготовка слушателей. Чтобы решить последнюю проблему, были организованы скорострельные курсы для неграмотных. Переход с курсов на рабочий факультет оказался слишком резким, поэтому нужно промежуточное звено. Обсуждали две женщины: бывшая ученица Катя Карманова и некая Шиллер. Потерял время зря, больше не пойду.
Завтра читаю перед спектаклем. Еврейский голос просил «оправдать выбор пьесы», в которой «есть речь о религии». Герой дня в Музее — Георгиевский, махровый негодяй. Матрёна устроила скандал, решили расстаться. Зло копится, берёт ужас. Никогда не был идеологом буржуазии."
380987," 20/IX Измочалился вдребезги. Все от Рабфака. Там кабак, а не школа. «Товарищи» распоясались во-всю. Сегодня скандальное заседание предметной комиссии по русскому языку под моим председательством. Созвано по предложению Президиума, куда поступили заявления об удалении преподавателей русского языка Селго и Виноградова Ф.А. Открываю заседание, прошу дать объяснения председателя Студкома Емельянова. «Просим уволить таких-то...» Какие же мотивы, факты, послужившие основанием этого заявления? — «Фактов привести не можем... Чувствуем, что эти преподаватели плохи». — ?? — Ответа нет. Я предлагаю закрыть заседание, так как обсуждать заявление, основанное на «чувствах» — не приходится. Ф.А. Виноградов заявляет о своем отказе. Я тоже. Реформатский и другие настаивают, чтоб я взял обратно. Я стою на своем: не хочу быть игрушкой «чувствующих» и распоясавшихся товарищей, дорожу своим достоинством. Возьму обратно, если останется Виноградов, более чем приличный преподаватель. В итоге — «недоразумение»: надо было удалить Виноградова как преподавателя истории. Но это не так: Островитинов (сегодня отсутствовал) сказал вчера Глазову об удалении Виноградова и от преподавания литературы, как не-марксиста. Должно было быть, но не состоялось заседание комиссии общественных наук — удаление Лебедева и Никольского. Поход и против Л.Д. Синицкого. Уходя с заседания русской комиссии, слышал фразу Емельянова одному товарищу: «Скотина Островитинов: сам заварил, а не явился, вот и расхлебывай без него!» Тут-то и зарыта собака, знаменующая начало систематического похода против инакомыслящих преподавателей. — Кажется, дела Лиды Беккер устраиваются при доброй помощи А.А. Борзова. ",376,"Измочалился на Рабфаке. Распоясавшиеся «товарищи». Скандальное заседание по русскому языку.

Созвано предложение об увольнении преподавателей Селго и Виноградова. Председатель Студком Емельянов не может привести фактов, только «чувствует», что преподаватели плохи. Виноградов и я отказываемся увольняться. Реформатский настаивает, чтобы я взял заявление обратно. Стою на своём.

В итоге предлагают удалить Виноградова из-за преподавания истории, хотя Островитинов хотел удалить его и за немарксистскую литературу. Не состоялось удаление Лебедева, Никольского и Л. Д. Синицкого из-за отсутствия Островитинова."
245791," Пятница. С. Кадницы. День сегодня простоял без осадков, и тепло было, но пасмурно. Ветра вроде не было. Встал я в четверть десятого. Произведя туалет, стал завтракать. За завтраком что-то расчитался — «Знание — сила» читал, потом мама «Неву» подложила, там была интересная статья о межзвездной связи, рассказ один прочел, вопреки своим привычкам — не читать толстые журналы. Хороший же рассказ, у меня аж слеза выдавилась. И по радио интересная передача была — о Марсе. И оказалось, что вчера наши запустили в сторону Марса космический корабль-лабораторию «Марс-1». Что он должен делать, пока не знаю, завтра будет в газетах, но приборы и оборудование действуют безотказно. Так что со всем этим обилием информации я сидел до половины двенадцатого. Собирался ехать в Кстово — не устраиваться, нет, а за хлебом и узнать, не напечатали ли мой стих в газете. Но если бы я и уехал сейчас, приехал бы как раз к обеду в редакции. Тогда сходил, взял у мамы машинку и решил перепечатать пока кое-какие стихи, например Venceremos , т.к. я печатал его без пропусков между строф — некрасиво, «Новый год» — не рассчитал, нижние строфы пришлось сжимать. И так же три старых стихотворения 1954 г., не напечатанных в газетах, но требовавшие реставрации, да еще кое-что. Пока я стукал по клавишам, подошел обед. Мама сходила сама, и мы стали есть. Были погановатые щи и макароны по-флотски, т.е. с фаршем. Я поел, допечатал то, что было заложено в машинку, и стал все же собираться в Кстово. Одеться пришлось в резиновые прохоря и «пургу». Правда, в ней было жарко. Да и дорога не особо грязная, вполне бы прошел в ботах. В Запрудное я пришел в начале третьего. Стоял «Икарус» на Горький, но я на них отъездил, впору ходить пешком. Минут через 5 подошел автобус из Работок, совершенно пустой. Я сел один, и мы тотчас поехали, пока до «Икаруса», а то, мол, всех пассажиров заберет. Впрочем, их и было-то еще двое или трое. Шофер летел здорово, аж до 70. Когда подъехали к ветчаковскому мосту, там стоял мужик и махал, чтобы ехали на мост (т.е. на новый). Поехали. Там уж все готово, мост заасфальтирован и посыпан черным щебнем. А оттуда машины шли на объезд. Когда мы тронулись от Ветчака, «Икарус» краснел сзади. Шофер лупил в гору ужасно, обогнал всех, что ехали. Перевалили через гребень, помчались вниз к Кстову. Автобус дребезжал и трясся на 70 километрах. Но слева уже нависла туша «Икаруса». Он с шорохом промчался мимо, словно мы стояли на месте, и через несколько минут уже исчез за дымкой пыли. Ну и машина! А наш шофер сразу перестал нажимать и ехал едва на полсотне. У молокозавода получилась пробка. Стояло штук 20 машин в обоих направлениях, в том числе и тот «Икарус». В кювете возился в грязи автокран. Опять, мол, авария — тут, видно, вчера «Волгу» где-то разбили, да еще что-то было. Я вылез, решил пройтись пешком и заодно посмотреть, в чем дело. Почти поперек шоссе стоял трейлер, а кран, судя по следам, соскользнул в кювет, стоя на обочине. Больше ничего не было, и я пошел в Кстово. Скоро машины пошли. Я первым делом направился в редакцию. Дюжий редактор сидел у себя, с жидкими прядками через плешь. Я так и не вспомнил, на кого он похож. Зашел, говорю, узнать о судьбе своего творения. Не поместили, слышь, уж после праздников. Жаль, мол, но ладно. Дал ему «Новый год». Он прочитал, записал адрес. Ладно, говорит, пойдет и это. Спросил, откуда я и чем занимаюсь. Но дальше этого разговор не двинулся. Другой сотрудник спрашивал, нет ли у меня знакомых рыбаков и цело ли жерешиное место в устье Кудьмы, где был островок. Я все объяснил и отбыл в магазины. Сперва заглянул в молочный, что рядом с горкомом. Там было столпотворение. Вполне, конечно, естественно — праздники на носу. Я пошел в продовольственный — масла там не было. Не было и сыра. Колбасы какие-то были, но полукопченые. Я пошел в другой, через дорогу, в подвале. Там еще было закрыто до трех. Я пока пошел в хозяйственный, где купил резинового клея и БФ-2 на 40 коп. Зашел в книжный, бумаги нет ли, но такой роскоши в Советском Союзе нет. Как пояснил однажды один мужик, бумага и прочая целлюлоза вся на полигонах — переводится в пироксилиновые пороха, и далее — в дым и углекислый газ. Тем временем открылся продовольственный, и я, выстояв минут 25 в очереди, добыл полкило сливочного масла. Надо было еще добывать шоколадного и искать сыр или колбасу — мама просила. Пошел в большой. Там оказалось шоколадное масло, не было бумаги (оберточной!) и сыра, а колбаса опять полукопченая. Я взял полкило масла за 1.70 и на 1.62 шестьсот грамм колбасы. Положили мне и минской, и украинской — они одинаковы по цене. Насчет алкоголей тут ничего ассортиментишко был, правда, вшивый по качеству. Я облизнулся и пошел в булочную. Взял калач за 40 коп. — батонов нету. Затем пошел на автостанцию. Как раз сажали в автобус, но народу было до пса. Я не стал и подходить и пошел на перекресток. Только встал — идет ЗИЛ с пустой кабиной. Его схватил было легавый, стоявший ближе, но отпустил, и перехватил я. Он посадил меня и еще одного парня, и мы поехали. Хотя у ЗИЛа было 3/4 кузова цемента — шофер говорил, 5 т, — но шел он прекрасно. Через 25 мин. я вывалился у своей дороги и попрыгал домой. Когда подходил к Кадницам, уже смеркалось. Домой пришел в четверть шестого. Скоро пришла мама и поставила варить на ужин картошку, а я опять стал печатать на машинке. Перепечатал все старые стихи и всё привел в порядок. У мамы взял папку, сложил в нее все копии и вторые экземпляры, а все первые сложил в отдельную папку. Смотрел свои рассказы — хорошие, черт возьми, почему, падлы, не печатают? Это уж я все разбирал после ужина. Покончив со всем, стал писать дневник. Кончил его в половине двенадцатого. После этого еще пил чай, а то с ужином не удалось. Так что спать лег уже в 12 ч. ",1428,"Пятница. С. Кадницы: день без осадков и пасмурно, ветра не было.

Встал в 9:15, позавтракал, почитал журналы, послушал радио. До 12:30 читал и занимался своими делами.

Собирался в Кстово, но решил остаться и перепечатал стихи на машинке, привёл их в порядок, сложил копии в папку.

После ужина разбирал свои рассказы, смотрел, почему их не печатают. Закончив, написал дневник и лёг спать в 24:00."
292580," пятница В связи с поздней остановкой Капитан милостиво назначил под'ем на 7 ч. утра вместо обычных шести. Откровенно говоря, я не высыпаюсь. Ложимся мы около 12 ч., редко в 11 вечера, и 6-7 часов сна маловато. Поскольку я сижу в носовой части, днем мне не удается вздремнуть, в то время как остальная публика в свободное от гребли время может с удобством вздремнуть, а Капитан даже похрапывает. Вообще, так же как у Брувера, у Валеры нет чувства любви к природе, и остановки наши устраиваются, как правило, на неудобных местах. То же происходит и с остановками на обед. Скорее вперед, вперед, неизвестно для чего. До Ербогачена остается немного, и числа 26-го вероятно будем там. Отпуск у ребят до 10 августа. Так вот и проскочим мы галопом по Тунгуске, мало что оставив в памяти. Рыбный ловлей, кроме меня, никто не занимается, да и это мне приходится делать урывками, в обеденный перерыв. Вечером обычно не хватает времени. Устанавливать палатку и проводить подготовку к ночлегу приходится мне одному, т.к. Валя не помощник, и он больше помогает девчатам. Утром сборы также целиком ложатся на меня — я имею в виду нашу палатку. От момента под'ема до отплытия проходит примерно часа два. Алла Бояркина — бессменный завхоз и главповар. На помощь ей назначаются дежурные — один на сутки. Сегодня дежурит Валя. Маленький, щуплый, он очень мало приспособлен к таежной жизни. В отличие от всех остальных, которые в полную меру или полумеру пользуются солнцем и водой, Валя только на несколько [минут] позволяет себе посидеть раздетым на солнце. Тело у него дряблое, кожа белая, сложение хлипкое. Он пытается отрастить бороду, и его двухнедельная блондинистая щетина выглядит как-то карикатурно убого. Впрочем, свои обязанности дежурного он выполняет со старанием. Вот и еще один день прошел. Вероятно, послезавтра будем в Ербогачене. День сегодня был пречудесный, большей частью ясный, жаркий. Примерно в полдень нам попалась на берегу палатка, возле которой сидела группа людей, в том числе одна женщина. Это геологи, которые сплывают на резиновой лодке с мотором вниз по Тунгуске. Вопреки таежному обычаю, когда встречающиеся в тайге знакомятся и обмениваются новостями, наш Капитан бросил сидящим оскорбительную фразу — вот де как мы вас обогнали. Вообще капитан несколько легкомысленен и очень упрям и самонадеян. Он спрашивает совет и делает по-своему. Валя — дежурный — забыл на стану мою столовую ложку, к которой я привык, и которая ездила со мной с 1961 г. Где-то забыт топор. Вообще беспечность и легкомыслие, присущие молодежи, царят здесь во всю. Опять разворчался старик. Вспомни, каким ты был сам в молодые годы. Километрах в 40 ниже Лужков взята проба №5. Несколько условна ее привязка. На ночлег мы сегодня встали в девятом часу и так же, как вчера, долго метались от берега к берегу, ища подходящего места. Оно оказалось не особенно удачным. Густейшая по грудь трава с мириадами комаров, которые облепили нас со всех сторон, а главное покатая поверхность на грани допустимого. Поужинали мы ухой из ельцов, которых наловил Витя Черников, крайне гордый своей удачей. Я сегодня ничего не поймал — останавливаемся мы на отмелях, возле которых щуки не водятся. Трое нас — Валера Папе, Володя Шифрин и я — с увлечением потребляем черный молотый перец к ужасу и изумлению других. Главное, мы втянулись в это дело, и в перце чувствуется явная потребность, перчим мы на славу — грамма 1,5 — 2 за раз, причем жжение ощущается не особенно сильно. Сегодня я выстирал нижнюю и верхнюю рубашки, а главное, черные брюки, которые перед этим приняли явно неприличный вид. За эти несколько дней вода в реке стала значительно теплее, и все мы с удовольствием и часто купаемся. Даже Валя время от времени залезает в воду и блаженно крякает. ",862,"Пятница. Капитан назначил подъём в 7 утра вместо 6, т. к. остановка была поздней. Из-за этого я не высыпался. Днём я не мог вздремнуть из-за того, что сидел в носовой части. Остальная публика могла вздремнуть в свободное время.

Отпуск ребят до 10 августа, поэтому мы проскочим по Тунгуски галопом и мало что оставим в памяти. Никто, кроме автора, не ловит рыбу, но и ему приходится заниматься этим урывками в обеденный перерыв, вечером и утром.

Алла — бессменная завхоз и повар. Дежурный на сутки — Валя, маленький и щуплый. Он мало приспособлен для таёжной жизни, но выполняет свои обязанности старательно.

День сегодня был чудесный, большей частью — ясный и жаркий. Капитан бросил оскорбительную фразу группе людей на берегу. Капитан несколько легкомысленный и упрямый. Валя забыл мою столовую ложку и топор.

Мы встали на ночлег в девятом часу, долго искали подходящее место, но оно оказалось неудачным. Мы наловили ельцов и поужинали ухой. Автор ничего не поймал, потому что останавливаемся на отмелях.

Валера, Володя и автор с увлечением едят чёрный молотый перец. Они втянулись в этом деле, и теперь потребляют перец на славу. Автор выстирал рубашки и чёрные брюки. Вода в реке стала теплее, поэтому все купаются."
293286," Четверг. Переночевали прекрасно. Встали в 8 часов и, пока Таня готовила чай, мы с Витей занялись рыбной ловлей. Увы! Прежней щедрости Кимчинских шивер не было и в помине. Да и шиверы, по-видимому, были не те, а какие-то другие, быть может, дальше расположенные от Чеко. Шивер было много, но рыбы в них мало. Я прошел вниз километра на два, пробуя счастья на каждой шивере. В результате было поймано 5 щук и свыше полутора десятка хариусов. Так же, как в 1961 году Черников поймал первого в своей жизни хариуса, так теперь он поймал первую щуку. Восторгу его не было конца. Славные они ребята — он и его спутница по маршрутам студентка 2-го курса Томского мединститута Таня Малинова. Она с широко раскрытыми глазами впитывает явления окружающего мира, восхищается вольной таежной жизнью, не обращая внимания на трудности и невзгоды таежной жизни. Добросовестная и старательная, она принимает самое деятельное участие в организации лагерного быта. Своеобразие дикой таежной обстановки на берегу Кимчу настолько поразило ее, что она заявила, что этот день является чуть ли не самым счастливым днем в ее жизни. Вообще, это был прекрасный день, и я был бы не прочь еще денек-два провести на шиверах Кимчу. ",285,"Четверг. Прежней рыбной удачи не было. Но поймали 5 щук, много хариусов, восторг Черникова. Славные ребята — Черников и студентка Таня Малинова, восторгается природой, помогает в лагере. День на шивеpax Кимчу — счастливый день для Тани."
565701," Воскресенье. В организме начинает накапливаться протест против сидячей малоподвижной жизни, и в субботу после работы этот протест переходит в активное действие. Вооруженные спиннингами, с рюкзаками за спиной отправились мы вчера втроем — я, Бесчастный и Васильев — километров за 12 от Батыгая на оз Чалбон. У Бесчастного в рюкзаке запрятана матерчатая надувная лодочка и сети, у нас с Васильевым — провиант и разные предметы полевого обихода, начиная с палатки и кончая котелком. Приятно было провести светлую полярную ночь на берегу озера в тихой умиротворенной обстановке, вдали от густо населенного поселка. Наш скромный улов (около 12 небольших щучек) только в какой-то незначительной степени влияет в положительную сторону в части хорошего настроения, ибо и без улова одно сознание того, что ты находишься среди нетронутой природы, резко улучшает настроение, дает организму заряд бодрости и энергии. Ночь, утро и первая половина дня, вплоть до обратной дороги, прошли быстро и незаметно. По возвращении сходили в баню, которая сегодня не работает (по какой-то причине), но в которую мы с Васильевым пробрались с «черного хода» за пятирублевую мзду. В результате мы с Васей комфортабельно расположились вдвоем в банном зале и прекрасно помылись. Сейчас слипаются глаза, и адски хочется спать. ",288,
609151," понедельник После долгого перерыва опять собираюсь начать систематическое ведение ежедневных записей о «днях нашей жизни». Дни же эти текут скудно и однообразно, настолько однообразно, что через день уже невозможно вспомнить, что происходило позавчера. Из заметных событий последнего времени необходимо отметить приезд Ариши, которая 12 мая успешно защитила кандидатскую диссертацию. Незадолго перед этим Пашка совершил необычное турне из Петропавловска в Нальчик, куда он был направлен мамой по бесплатной путевке в санаторий в середине учебного года. Неясно, какие недуги он там лечил, но школьные занятия запущены им весьма обстоятельно. В девятом классе такие эксперименты весьма рискованны. Вот уже почти полмесяца Баба, Наташка большая и малышка перебрались на дачу. В начале мая после нескольких чудесных, по-настоящему весенних дней, вдруг налетел холодный циклон, начались ночные заморозки с температурой до минус 8-9 градусов. Днем температура повышалась до плюс 5-7°, с дождями и холодными ветрами. Только недавно /каких-нибудь три-четыре дня/ погода изменилась к лучшему, заголубело небо, и термометр стал показывать 15-18°. Сегодня Наташке маленькой исполнилось шесть месяцев. Милый славный ребенок, спокойный, веселый, улыбчивый, начинающий уже кое-что понимать в этом огромном необ”ятном мире, пределы которого пока ограничиваются кроваткой. За границами ее уже начинается ''космическое пространство. Наташка уже научилась лихо перевертываться со спины на живот. Вернуться в исходное положение ей пока не удается. С удовольствием занимается ""разговорами"" — тут и гуканье, и кряканье, и лихие выкрики — ребенок успешно развивает голосовые связки. В общем, она наш кумир, перед которым мы все преклоняемся. Пока она еще это не осознала, но, вероятно, скоро разберется ""что к чему"" и сделает ""соответствующие выводы”. Вчера уехал в командировку Миша. Он отправился в Среднюю Азию и пробудет там до середины июня. Тоська заканчивает печатание дипломного проекта. Двадцатого мая собирается сдать его. По словам его куратора, Рюрика Беме, проект получился не плохой. Тоська уже «благоустроился» — на него дало заявку Управление по Охране Природы. Работа сопряжена с многочисленными разъездами, что Тоську вполне устраивает. Оклад его 112 руб., несколько бо́льший, чем у Ляли. Последняя &lt;…&gt; часто делает пропуски, не говоря уже о многочисленных бюллетенях. &lt;…&gt;. Совсем не такой Миша, который очень щепетилен в своих служебных делах. &lt;…&gt; [Ляле] очень повезло, что она встретила Мишу, который как-то сразу ""вписался "" в нашу семью. Он очень любит и Никиту, и Наташу, а особенно маленькую Наташку. &lt;…&gt;. Баба сейчас целиком занята маленькой Наташкой, чем зачастую беззастенчиво пользуется Наташка большая. Что касается меня, то я постепенно деградирую, становлюсь все более слабым и физически, и духовно. Боюсь, что меня ожидает участь Сережи Раковского, а, скорее всего, ""Друга"". ",640,"Вот сокращённый вариант текста:

**Понедельник**

Из заметных событий — приезд Аришы, защита кандидатской диссертации 12 мая. Пашка отправился в Нальчик по бесплатной путёвке в середине учебного года, запустил школьные занятия. Баба, Наташка и малышка на даче. Погода изменилась к лучшему: температура 15–18°, дожди и холодные ветры прекратились.

Наташке большой исполнилось шесть месяцев, она научилась переворачиваться. Занимается «разговорами», развивает голосовые навыки. Скоро «сделает соответствующие выводы».

Миша уехал в командировку в Среднюю Азию, Тоська заканчивает печатать дипломный проект. Двадцатью днями позже сдаст его. Проект получился неплохим, Тоське дали заявку в Управление по охране природы. Оклад 112 рублей, больше, чем у Ляли, которая часто пропускает работу. Миша щепетильно относится к служебным делам. Ляле повезло встретить Мишу, он любит семью.

Баба занята маленькой Наташей, Наташка использует это. Я деградирую физически и духовно, боюсь повторить судьбу Сережи и «Друга»."
